,title_ramowka,redactor,datetime
5251,Personal bigos,Marcin Mann,2023-02-07 14:00:00
5252,Akademia rocka,Adam Stasiak,2023-02-07 15:00:00
5253,Nowy Świat po południu,Michał Porycki ,2023-02-07 16:00:00
5254,Wagle,"Wojciech Waglewski, Fisz",2023-02-07 19:00:00
5255,Punkt widzenia,Beata Grabarczyk ,2023-02-07 21:00:00
5256,Świat naszej muzyki,Bartek Winczewski,2023-02-07 22:00:00
5257,Muzyka do rana,,2023-02-08 00:00:00
5258,Nowy świt,Mateusz Andruszkiewicz ,2023-02-08 06:00:00
5259,Wszystko gra,Maciej Jankowski,2023-02-08 10:00:00
5260,W środku dnia,Jan Niebudek ,2023-02-08 11:00:00
5261,Dzieci bluesa,Jan Chojnacki,2023-02-08 14:00:00
5262,Nowy Świat po południu,Michał Porycki ,2023-02-08 16:00:00
5263,Bon ton,Agnieszka Lipka-Barnett,2023-02-08 19:00:00
5264,Słowo daję,Jarosław Mikołajewski ,2023-02-08 21:00:00
5265,Muzyka do czytania,Michał Nogaś,2023-02-08 22:00:00
5266,Muzyka do rana,,2023-02-09 00:00:00
5267,Nowy świt,"Katarzyna Kasia, Grzegorz Markowski ",2023-02-09 06:00:00
5268,Numer na bis,Maria Zamachowska,2023-02-09 10:00:00
5269,W środku dnia,Jan Niebudek ,2023-02-09 11:00:00
5270,Zamach na dziesiątą muzę,Zbigniew Zamachowski,2023-02-09 14:00:00
5271,Nowy Świat po południu,Michał Porycki ,2023-02-09 16:00:00
5272,Napiór w eterze,Marek Napiórkowski,2023-02-09 19:00:00
5273,Punkt widzenia,Beata Grabarczyk,2023-02-09 21:00:00
5274,Nocny świat,Mikołaj Kierski,2023-02-09 22:00:00
5275,Powidoki,Bruno Jasieński,2023-02-09 23:00:00
5276,Muzyka do rana,,2023-02-10 00:00:00
5277,Poranna Manna,Wojciech Mann ,2023-02-10 06:00:00
5278,Dobrze nastrojone,Marcelina Słomian,2023-02-10 10:00:00
5279,W środku dnia,Agnieszka Lipka-Barnett ,2023-02-10 11:00:00
5280,Klimaty na raty,Jan Janczy,2023-02-10 14:00:00
5281,Nowy Świat po południu,Michał Porycki ,2023-02-10 16:00:00
5282,RadioAktywni,Jacek Nizinkiewicz,2023-02-10 19:00:00
5283,Biforek,Mikołaj Tyczyński,2023-02-10 21:00:00
5284,Sejsmograf,Kinga Krasuska,2023-02-10 22:00:00
