,title_ramowka,redactor,datetime
1221,Motyw przewodni,Mateusz Kuśmierek,2022-01-25 10:00:00
1222,W środku dnia,Mateusz Andruszkiewicz,2022-01-25 11:00:00
1223,Personal bigos,Marcin Mann,2022-01-25 14:00:00
1224,Klimaty na raty,Jan Janczy,2022-01-25 15:00:00
1225,Nowy Świat po południu,Michał Porycki,2022-01-25 16:00:00
1226,Wagle,Wojciech Waglewski,2022-01-25 19:00:00
1227,Punkt widzenia,Beata Grabarczyk,2022-01-25 21:00:00
1228,90/h,,2022-01-25 22:00:00
1229,Muzyka do rana,,2022-01-26 00:00:00
1230,Nowy świt,Mateusz Andruszkiewicz,2022-01-26 06:00:00
1231,Wszystko gra,Maciej Jankowski,2022-01-26 10:00:00
1232,W środku dnia,Jan Niebudek,2022-01-26 11:00:00
1233,Dzieci bluesa,Jan Chojnacki,2022-01-26 14:00:00
1234,Nowy Świat po południu,Michał Porycki,2022-01-26 16:00:00
1235,Badafonia,Kuba Badach,2022-01-26 19:00:00
1236,Słowo daję,Jarosław Mikołajewski,2022-01-26 21:00:00
1237,Muzyka do czytania,Michał Nogaś,2022-01-26 22:00:00
1238,Nasze nocne granie,,2022-01-27 00:00:00
1239,Nasze nocne granie,,2022-01-27 01:00:00
1240,Nowy świt,Katarzyna Kasia,2022-01-27 06:00:00
1241,Numer na bis,Maria Zamachowska,2022-01-27 10:00:00
1242,W środku dnia,Jan Niebudek,2022-01-27 11:00:00
1243,Zamach na dziesiątą muzę,Zbigniew Zamachowski,2022-01-27 14:00:00
1244,Nowy Świat po południu,Michał Porycki,2022-01-27 16:00:00
1245,Napiór w eterze,Marek Napiórkowski,2022-01-27 19:00:00
1246,Punkt widzenia,Beata Grabarczyk,2022-01-27 21:00:00
1247,Nocny świat,Mikołaj Kierski,2022-01-27 22:00:00
1248,Sejsmograf,Kinga Krasuska,2022-01-27 23:00:00
1249,Muzyka do rana,,2022-01-28 00:00:00
1250,Poranna Manna,Wojciech Mann,2022-01-28 06:00:00
1251,Dobrze nastrojone,Marcelina Słomian,2022-01-28 10:00:00
1252,W środku dnia,Jan Niebudek,2022-01-28 11:00:00
1253,Sny kolorowe,,2022-01-28 13:00:00
1254,Świat nowej muzyki,Bartek Winczewski,2022-01-28 14:00:00
1255,Nowy Świat po południu,Michał Porycki,2022-01-28 16:00:00
1256,Muzyczny gabinet terapeutyczny,Monika Borzym,2022-01-28 19:00:00
1257,RadioAktywni,Jacek Nizinkiewicz,2022-01-28 20:00:00
1258,Powidoki,Bruno Jasieński,2022-01-28 22:00:00
1259,U progu nocy,Kamil Wrona,2022-01-28 23:00:00
1260,Muzyka do rana,,2022-01-29 00:00:00
1261,Sobotni brzask,Maciej Jankowski,2022-01-29 07:00:00
1262,Koncert życzeń,,2022-01-29 10:00:00
1263,Deliberatorium,Beata Grabarczyk,2022-01-29 12:00:00
1264,Bon ton,Agnieszka Lipka-Barnett,2022-01-29 13:00:00
1265,Radiolokacja,Maciej Grzenkowicz,2022-01-29 14:00:00
1266,Stulecie dziwów,Jerzy Sosnowski,2022-01-29 15:00:00
1267,Miłomuzomania,Kinga Krasuska,2022-01-29 16:00:00
1268,Mięta do (pop)kultury,Katarzyna Oklińska,2022-01-29 18:00:00
1269,Soulówka,Mikołaj Tyczyński,2022-01-29 19:00:00
1270,"Szczyt wszystkiego, czyli każda lista świata",Mateusz Andruszkiewicz,2022-01-29 20:00:00
1271,Domówka,Paweł Orlikowski,2022-01-29 22:00:00
1272,Muzyka do rana,,2022-01-30 00:00:00
1273,De Cuba Su Musica,Jose Torres,2022-01-30 08:00:00
1274,Zbiory prywatne,Maria Zamachowska,2022-01-30 10:00:00
1275,Manniak po omacku,Wojciech Mann,2022-01-30 11:00:00
1276,Raczek movie,Tomasz Raczek,2022-01-30 13:00:00
1277,Wesoła warszawska fala,Jan Emil Młynarski,2022-01-30 14:00:00
1278,Pora siesty,Marcin Kydryński,2022-01-30 15:00:00
1279,W głębi duszy,Eliza Michalik,2022-01-30 17:00:00
1280,Nie tylko hip-hop,Mateusz Andruszkiewicz,2022-01-30 18:00:00
1281,Czytał Michał Nogaś,Michał Nogaś,2022-01-30 19:00:00
1282,Piosennik,Andrzej Poniedzielski,2022-01-30 20:00:00
1283,Dobrze nastrojone po polsku,Marcelina Słomian,2022-01-30 22:00:00
1284,Osobiste wycieczki,Maciej Grzenkowicz,2022-01-30 23:00:00
1285,Muzyka do rana,,2022-01-31 00:00:00
1286,Nowy świt,,2022-01-31 06:00:00
1287,Cafe de Paris,Agnieszka Lipka-Barnett,2022-01-31 10:00:00
1288,W środku dnia,Jan Niebudek,2022-01-31 11:00:00
1289,Dziękuję za wypowiedź,Adam Nowak,2022-01-31 14:00:00
1290,Nowy Świat po południu,Michał Porycki,2022-01-31 16:00:00
1291,Strumień zdumień,Jan Chojnacki,2022-01-31 19:00:00
1292,Punkt widzenia,Jerzy Sosnowski,2022-01-31 21:00:00
1293,Muzyka bardzo poważna,Krzysztof Grabowski,2022-01-31 22:00:00
1294,Nasze nocne granie,,2022-02-01 00:00:00
1295,Nasze nocne granie,,2022-02-01 01:00:00
1296,Muzyka do rana,,2022-02-01 02:00:00
1297,Nowy świt,Katarzyna Kasia,2022-02-01 06:00:00
1298,Motyw przewodni,Mateusz Kuśmierek,2022-02-01 10:00:00
1299,W środku dnia,Mateusz Andruszkiewicz,2022-02-01 11:00:00
1300,Personal bigos,Marcin Mann,2022-02-01 14:00:00
1301,Klimaty na raty,Jan Janczy,2022-02-01 15:00:00
1302,Nowy Świat po południu,Michał Porycki,2022-02-01 16:00:00
1303,Wagle,"Wojciech Waglewski, Fisz",2022-02-01 19:00:00
1304,Punkt widzenia,Beata Grabarczyk,2022-02-01 21:00:00
1305,90/h,Mikołaj Tyczyński,2022-02-01 22:00:00
